timestamp,sender,message,emotion,emoji_used,emoji_count,capital_ratio,clean_message,message_len,hour,emoji_flag,len_bucket,caps_bucket,strata
3/30/2022 13:18,REDACTED,Ah mantap,positif,,0,0.125,ah mantap,2,13,0,short,high,short_high_0
3/12/2022 19:12,REDACTED,Mintol dulu bawa ke dalam gereja mau dipke cek sound untuk besok,netral,,0,0.018867925,mintol dulu bawa ke dalam gereja mau dipke cek sound untuk besok,12,19,0,medium,low,medium_low_0
3/7/2024 12:16,REDACTED,"Selamat bertambah usia @REDACTED Oliv  🥳 🎉 Panjang umur, sehat selalu, diberkati dalam cita-cita dan rencana kedepannya, diberkati bersama keluarga. Tuhan senantiasa menyertai dan melindungi dimanapun pergi dan berada. Tuhan Yesus Memberkatii🎁😇🫶✨",positif,🥳🎉🎁😇🫶✨,6,0.074626866,"selamat bertambah usia redacted oliv panjang umur, sehat selalu, diberkati dalam cita cita dan rencana kedepannya, diberkati bersama keluarga. tuhan senantiasa menyertai dan melindungi dimanapun pergi dan berada. tuhan yesus memberkatii",31,12,1,medium,mid,medium_mid_1
9/9/2024 18:57,REDACTED,"Selamat atas gelar barunya buat saudara-saudara kita @REDACTED Semoga dengan gelar yg baru segala harapan kedepannya dapat dicapai, ilmunya bisa menjadi berkat bagi masyarakat dan diri sendiri dimanapun berada, terlebih untuk kemuliaan Tuhan. Congrats Tuhan berkati 😇🎉🙏🏻🎊🎁",positif,😇🎉🙏🏻🎊🎁,6,0.116883117,"selamat atas gelar barunya buat saudara saudara kita christian pavel sitompul a.md.t redacted pavel christian theodorus tasusane mangeka, s.tr.pel redacted chris semoga dengan gelar yg baru segala harapan kedepannya dapat dicapai, ilmunya bisa menjadi berkat bagi masyarakat dan diri sendiri dimanapun berada, terlebih untuk kemuliaan tuhan. congrats tuhan berkati",49,18,1,long,high,long_high_1
4/20/2024 11:52,REDACTED,"Selamat bertambah sukacita usia @REDACTED 🎉 Panjang umur, sehat selalu, diberkati dalam cita-cita dan rencana kedepannya, diberkati bersama keluarga. Tuhan senantiasa menyertai dan melindungi dimanapun pergi dan berada. Tuhan Yesus Memberkatii🎁😇🫶",positif,🎉🎁😇🫶,4,0.068292683,"selamat bertambah sukacita usia redacted panjang umur, sehat selalu, diberkati dalam cita cita dan rencana kedepannya, diberkati bersama keluarga. tuhan senantiasa menyertai dan melindungi dimanapun pergi dan berada. tuhan yesus memberkatii",31,11,1,medium,mid,medium_mid_1
12/3/2023 21:16,REDACTED,Manaki kenapa tdk adaki latihan,negatif,,0,0.037037037,manaki kenapa tdk adaki latihan,5,21,0,short,low,short_low_0
11/30/2023 12:18,REDACTED,"Shalom, selamat Siang.. Diinfokan kepada teman-teman yang tidak ada kesibukannya sebentar malam kita kembali latihan nyanyi (paduan suara) untuk di natal, kita latihan *jam 19:30.* Terimakasih, Tuhan Yesus memberkati 🙏",netral,🙏,1,0.034883721,"shalom, selamat siang.. diinfokan kepada teman teman yang tidak ada kesibukannya sebentar malam kita kembali latihan nyanyi paduan suara untuk di natal, kita latihan jam 19 30. terimakasih, tuhan yesus memberkati",31,12,1,medium,low,medium_low_1
7/5/2023 8:57,REDACTED,"Selamat atas kelahiran anak pertamanya untuk kak @REDACTED   dan suami, Semoga anak yang terkasih membawa sukacita dan menjadi berkat untuk keluarga dan banyak orang. Serta bertumbuh di dlm  Yesus Kristus 💖🎉🤗😇✨ Tuhan Yesus Memberkati🫶",positif,💖🎉🤗😇✨🫶,6,0.089552239,"selamat atas kelahiran anak pertamanya untuk kak redacted tiku malenong dan suami, semoga anak yang terkasih membawa sukacita dan menjadi berkat untuk keluarga dan banyak orang. serta bertumbuh di dlm yesus kristus tuhan yesus memberkati",35,8,1,medium,high,medium_high_1
3/28/2025 11:47,REDACTED,"Selamat bertambah usia @REDACTED @REDACTED   🥳 🎉 Panjang umur, sehat selalu,diberkati dalam cita-cita dan rencana kedepannya,diberkati bersama keluarga. Tuhan senantiasa menyertai dan melindungi dimanapun pergi dan berada. Tuhan Yesus Memberkatii🎁😇🫶✨",positif,🥳🎉🎁😇🫶✨,6,0.123552124,"selamat bertambah usia reskianto ramzi , gilbert ariesto kia , sevia friska rombe allo . redacted redacted kia panjang umur, sehat selalu,diberkati dalam cita cita dan rencana kedepannya,diberkati bersama keluarga. tuhan senantiasa menyertai dan melindungi dimanapun pergi dan berada. tuhan yesus memberkatii",42,11,1,long,high,long_high_1
5/22/2022 19:57,REDACTED,ngerikk ngerikkk,negatif,,0,0,ngerikk ngerikkk,2,19,0,short,low,short_low_0
